date,vendor_id,category,amount
2024-07-01,VEND-019,Construction,23093.11
2024-07-01,VEND-011,ICT,14530.47
2024-07-01,VEND-022,Office Supplies,5674.51
2024-07-01,VEND-024,ICT,19017.65
2024-07-01,VEND-021,Office Supplies,1552.6
2024-07-01,VEND-058,Consulting,11675.43
2024-07-02,VEND-059,Consulting,5683.9
2024-07-02,VEND-028,Construction,32113.93
2024-07-02,VEND-051,Travel,3268.64
2024-07-02,VEND-052,Construction,40786.14
2024-07-02,VEND-021,Consulting,17217.4
2024-07-02,VEND-018,Construction,33029.5
2024-07-03,VEND-020,Travel,2650.15
2024-07-03,VEND-060,ICT,10073.32
2024-07-03,VEND-014,ICT,8712.14
2024-07-03,VEND-050,Construction,44850.99
2024-07-03,VEND-042,Consulting,18136.14
2024-07-03,VEND-029,Consulting,4937.14
2024-07-04,VEND-048,Travel,4332.67
2024-07-04,VEND-014,Construction,76379.86
2024-07-04,VEND-016,ICT,11195.56
2024-07-04,VEND-047,Office Supplies,1836.38
2024-07-04,VEND-060,Office Supplies,980.64
2024-07-04,VEND-029,ICT,7074.89
2024-07-05,VEND-024,Office Supplies,1465.66
2024-07-05,VEND-051,ICT,17320.88
2024-07-05,VEND-005,Consulting,27362.9
2024-07-05,VEND-058,Travel,5977.48
2024-07-05,VEND-034,ICT,14638.64
2024-07-05,VEND-055,ICT,21546.94
2024-07-06,VEND-040,Construction,91331.19
2024-07-06,VEND-035,ICT,7000.5
2024-07-06,VEND-001,Construction,55904.46
2024-07-06,VEND-055,Office Supplies,1493.89
2024-07-06,VEND-015,Office Supplies,16640.43
2024-07-06,VEND-060,ICT,6907.94
2024-07-07,VEND-052,ICT,12643.39
2024-07-07,VEND-004,Consulting,13372.29
2024-07-07,VEND-043,Travel,2757.57
2024-07-07,VEND-013,ICT,4893.34
2024-07-07,VEND-002,ICT,7387.66
2024-07-07,VEND-057,Consulting,11840.6
2024-07-08,VEND-020,ICT,4930.56
2024-07-08,VEND-011,Office Supplies,1917.74
2024-07-08,VEND-033,Construction,36969.28
2024-07-08,VEND-027,ICT,7155.98
2024-07-08,VEND-039,Construction,53749.52
2024-07-08,VEND-027,ICT,14034.8
2024-07-09,VEND-044,Construction,35493.61
2024-07-09,VEND-059,ICT,10088.79
2024-07-09,VEND-049,Construction,139543.17
2024-07-09,VEND-058,ICT,13325.15
2024-07-09,VEND-049,Travel,3757.94
2024-07-09,VEND-056,ICT,4396.48
2024-07-10,VEND-054,ICT,12441.59
2024-07-10,VEND-032,ICT,52607.14
2024-07-10,VEND-044,Travel,2691.71
2024-07-10,VEND-006,Construction,34944.59
2024-07-10,VEND-059,ICT,23821.78
2024-07-10,VEND-038,ICT,18841.59
2024-07-11,VEND-011,Construction,104562.57
2024-07-11,VEND-016,Office Supplies,5072.6
2024-07-11,VEND-029,Office Supplies,1214.26
2024-07-11,VEND-060,Office Supplies,1566.24
2024-07-11,VEND-019,Consulting,16088.03
2024-07-11,VEND-007,Construction,36137.78
2024-07-12,VEND-018,ICT,6911.95
2024-07-12,VEND-011,Office Supplies,5575.7
2024-07-12,VEND-060,Construction,36328.97
2024-07-12,VEND-048,ICT,16753.04
2024-07-12,VEND-048,Consulting,6098.84
2024-07-12,VEND-005,Travel,4245.17
2024-07-13,VEND-035,Travel,1601.56
2024-07-13,VEND-016,Consulting,32688.56
2024-07-13,VEND-024,Office Supplies,2556.79
2024-07-13,VEND-049,Office Supplies,2708.31
2024-07-13,VEND-035,ICT,13745.06
2024-07-13,VEND-025,Construction,74821.36
2024-07-14,VEND-016,Consulting,49011.42
2024-07-14,VEND-036,Travel,5049.56
2024-07-14,VEND-020,Consulting,10194.83
2024-07-14,VEND-008,Construction,22837.54
2024-07-14,VEND-012,Office Supplies,3602.74
2024-07-14,VEND-022,Construction,140434.09
2024-07-15,VEND-027,ICT,20330.27
2024-07-15,VEND-021,Construction,38974.43
2024-07-15,VEND-005,Construction,38392.74
2024-07-15,VEND-048,ICT,61375.34
2024-07-15,VEND-017,ICT,12306.1
2024-07-15,VEND-030,Travel,3499.56
2024-07-16,VEND-041,Travel,3323.18
2024-07-16,VEND-029,Travel,5832.24
2024-07-16,VEND-021,Construction,34301.37
2024-07-16,VEND-033,ICT,19127.68
2024-07-16,VEND-031,Construction,51168.23
2024-07-16,VEND-003,Office Supplies,1041.87
2024-07-17,VEND-022,Consulting,18378.12
2024-07-17,VEND-027,Construction,27696.34
2024-07-17,VEND-009,ICT,20381.13
2024-07-17,VEND-048,Consulting,12219.17
2024-07-17,VEND-050,Consulting,10723.34
2024-07-17,VEND-013,Office Supplies,797.21
2024-07-18,VEND-051,ICT,8596.37
2024-07-18,VEND-028,Construction,41680.01
2024-07-18,VEND-051,Consulting,49715.53
2024-07-18,VEND-022,Construction,29999.47
2024-07-18,VEND-060,Consulting,12054.4
2024-07-18,VEND-008,Construction,86490.35
2024-07-19,VEND-004,Office Supplies,3059.35
2024-07-19,VEND-032,Office Supplies,1026.27
2024-07-19,VEND-052,Consulting,57913.77
2024-07-19,VEND-050,ICT,17553.58
2024-07-19,VEND-019,Construction,84392.15
2024-07-19,VEND-055,Construction,30861.85
2024-07-20,VEND-001,ICT,34941.71
2024-07-20,VEND-001,ICT,7992.13
2024-07-20,VEND-025,Construction,37153.18
2024-07-20,VEND-053,Consulting,14151.47
2024-07-20,VEND-005,Consulting,57591.41
2024-07-20,VEND-055,Consulting,18332.91
2024-07-21,VEND-022,ICT,5898.88
2024-07-21,VEND-014,ICT,13767.2
2024-07-21,VEND-052,ICT,10140.26
2024-07-21,VEND-016,ICT,8352.17
2024-07-21,VEND-033,ICT,1716.26
2024-07-21,VEND-037,Construction,24337.78
2024-07-22,VEND-034,Construction,113579.51
2024-07-22,VEND-010,ICT,26545.62
2024-07-22,VEND-005,Consulting,32152.4
2024-07-22,VEND-016,Consulting,16098.54
2024-07-22,VEND-032,ICT,10627.36
2024-07-22,VEND-024,Travel,3941.41
2024-07-23,VEND-051,Consulting,8601.59
2024-07-23,VEND-012,Office Supplies,2486.88
2024-07-23,VEND-017,Construction,53263.84
2024-07-23,VEND-029,Consulting,11011.82
2024-07-23,VEND-053,Office Supplies,1514.54
2024-07-23,VEND-011,Construction,36356.37
2024-07-24,VEND-057,Office Supplies,3582.91
2024-07-24,VEND-037,Consulting,23344.61
2024-07-24,VEND-039,Office Supplies,752.66
2024-07-24,VEND-023,Consulting,7692.51
2024-07-24,VEND-013,Travel,3334.73
2024-07-24,VEND-035,Office Supplies,4253.42
2024-07-25,VEND-048,ICT,12087.77
2024-07-25,VEND-013,Construction,78666.94
2024-07-25,VEND-052,Office Supplies,2672.35
2024-07-25,VEND-047,Consulting,14798.16
2024-07-25,VEND-052,ICT,13545.46
2024-07-25,VEND-036,Consulting,9872.44
2024-07-26,VEND-053,Travel,3093.95
2024-07-26,VEND-039,Construction,52261.04
2024-07-26,VEND-047,Travel,11281.92
2024-07-26,VEND-010,ICT,15296.99
2024-07-26,VEND-046,Office Supplies,2274.59
2024-07-26,VEND-042,Consulting,16588.81
2024-07-27,VEND-008,Construction,17420.89
2024-07-27,VEND-001,Construction,47184.62
2024-07-27,VEND-045,Office Supplies,2617.94
2024-07-27,VEND-006,Office Supplies,1966.24
2024-07-27,VEND-039,Consulting,3930.75
2024-07-27,VEND-026,Construction,36442.67
2024-07-28,VEND-050,Construction,17370.69
2024-07-28,VEND-058,Construction,34930.35
2024-07-28,VEND-039,Office Supplies,3244.6
2024-07-28,VEND-013,Office Supplies,3034.58
2024-07-28,VEND-025,ICT,8630.93
2024-07-28,VEND-038,Office Supplies,503.05
2024-07-29,VEND-016,Construction,14419.97
2024-07-29,VEND-011,Consulting,22920.8
2024-07-29,VEND-057,Travel,6303.75
2024-07-29,VEND-041,Consulting,8438.43
2024-07-29,VEND-023,ICT,7004.58
2024-07-29,VEND-012,ICT,29976.23
2024-07-30,VEND-024,Travel,3486.96
2024-07-30,VEND-008,Consulting,11158.77
2024-07-30,VEND-060,ICT,5809.14
2024-07-30,VEND-028,Consulting,41515.85
2024-07-30,VEND-017,Construction,37063.73
2024-07-30,VEND-053,ICT,4431.93
2024-07-31,VEND-046,Office Supplies,1283.27
2024-07-31,VEND-006,ICT,16119.96
2024-07-31,VEND-002,Travel,5930.92
2024-07-31,VEND-030,ICT,29104.76
2024-07-31,VEND-032,Office Supplies,4464.34
2024-07-31,VEND-011,Travel,2867.66
2024-08-01,VEND-027,Consulting,19631.63
2024-08-01,VEND-033,Consulting,15191.57
2024-08-01,VEND-048,Construction,17287.88
2024-08-01,VEND-028,ICT,8375.26
2024-08-01,VEND-037,Office Supplies,5464.09
2024-08-01,VEND-019,Office Supplies,2653.64
2024-08-02,VEND-051,ICT,6323.89
2024-08-02,VEND-004,ICT,11017.43
2024-08-02,VEND-028,ICT,22673.0
2024-08-02,VEND-039,ICT,30257.05
2024-08-02,VEND-059,Consulting,40580.19
2024-08-02,VEND-001,Construction,48234.15
2024-08-03,VEND-057,Consulting,29622.57
2024-08-03,VEND-047,Consulting,17676.6
2024-08-03,VEND-011,Construction,64258.1
2024-08-03,VEND-038,ICT,24843.49
2024-08-03,VEND-018,Consulting,16527.59
2024-08-03,VEND-027,Construction,51980.74
2024-08-04,VEND-033,ICT,14894.74
2024-08-04,VEND-060,Office Supplies,6169.49
2024-08-04,VEND-029,ICT,37654.44
2024-08-04,VEND-056,ICT,13755.9
2024-08-04,VEND-002,Office Supplies,2375.68
2024-08-04,VEND-043,Construction,33712.19
2024-08-05,VEND-023,Consulting,21405.44
2024-08-05,VEND-031,ICT,3481.25
2024-08-05,VEND-004,Construction,26097.25
2024-08-05,VEND-003,Construction,63009.3
2024-08-05,VEND-058,Office Supplies,2912.83
2024-08-05,VEND-021,ICT,12108.96
2024-08-06,VEND-021,ICT,7356.67
2024-08-06,VEND-005,Consulting,11440.66
2024-08-06,VEND-014,Construction,32280.81
2024-08-06,VEND-027,Construction,21931.76
2024-08-06,VEND-047,ICT,16340.72
2024-08-06,VEND-043,Construction,92706.96
2024-08-07,VEND-001,Travel,3552.33
2024-08-07,VEND-035,ICT,10509.98
2024-08-07,VEND-022,ICT,8641.18
2024-08-07,VEND-028,ICT,5743.53
2024-08-07,VEND-014,Construction,120740.44
2024-08-07,VEND-051,ICT,10334.47
2024-08-08,VEND-047,Consulting,16277.13
2024-08-08,VEND-018,ICT,21457.64
2024-08-08,VEND-025,Construction,17163.67
2024-08-08,VEND-028,Office Supplies,2485.65
2024-08-08,VEND-026,ICT,6348.06
2024-08-08,VEND-025,Consulting,10804.52
2024-08-09,VEND-003,Office Supplies,6054.14
2024-08-09,VEND-018,Consulting,27155.31
2024-08-09,VEND-008,ICT,49874.22
2024-08-09,VEND-044,Consulting,29409.22
2024-08-09,VEND-026,ICT,7096.03
2024-08-09,VEND-059,Consulting,6979.02
2024-08-10,VEND-033,Construction,45753.9
2024-08-10,VEND-021,ICT,12952.98
2024-08-10,VEND-011,ICT,8121.55
2024-08-10,VEND-030,ICT,8958.76
2024-08-10,VEND-036,ICT,2673.13
2024-08-10,VEND-006,Travel,5730.41
2024-08-11,VEND-056,Construction,31836.06
2024-08-11,VEND-057,Office Supplies,3461.47
2024-08-11,VEND-045,Consulting,5611.91
2024-08-11,VEND-006,Office Supplies,10574.84
2024-08-11,VEND-020,Travel,2201.6
2024-08-11,VEND-047,ICT,17603.2
2024-08-12,VEND-011,Consulting,14076.48
2024-08-12,VEND-013,Travel,4129.29
2024-08-12,VEND-010,Consulting,14635.61
2024-08-12,VEND-010,Consulting,12529.84
2024-08-12,VEND-001,Travel,6950.24
2024-08-12,VEND-009,ICT,8489.0
2024-08-13,VEND-055,Office Supplies,1425.4
2024-08-13,VEND-031,Office Supplies,9476.04
2024-08-13,VEND-009,Travel,4747.83
2024-08-13,VEND-035,ICT,8352.12
2024-08-13,VEND-029,ICT,16082.52
2024-08-13,VEND-041,ICT,30969.01
2024-08-14,VEND-037,Office Supplies,2998.56
2024-08-14,VEND-059,Office Supplies,2926.34
2024-08-14,VEND-042,Consulting,13574.08
2024-08-14,VEND-040,Construction,64814.6
2024-08-14,VEND-038,Construction,62688.77
2024-08-14,VEND-015,Consulting,19104.41
2024-08-15,VEND-002,Consulting,7739.12
2024-08-15,VEND-040,Consulting,6077.19
2024-08-15,VEND-003,ICT,3038.82
2024-08-15,VEND-008,Consulting,37791.26
2024-08-15,VEND-027,Consulting,44526.46
2024-08-15,VEND-038,Office Supplies,2157.74
2024-08-16,VEND-033,Office Supplies,3937.33
2024-08-16,VEND-022,ICT,18492.6
2024-08-16,VEND-054,Consulting,42856.03
2024-08-16,VEND-031,Office Supplies,2149.36
2024-08-16,VEND-015,Construction,174335.47
2024-08-16,VEND-005,Office Supplies,1256.43
2024-08-17,VEND-027,Construction,105131.64
2024-08-17,VEND-051,Consulting,12042.42
2024-08-17,VEND-020,Consulting,24617.26
2024-08-17,VEND-010,ICT,30736.88
2024-08-17,VEND-026,Construction,35251.07
2024-08-17,VEND-012,Travel,1589.91
2024-08-18,VEND-043,Travel,6396.24
2024-08-18,VEND-036,Travel,2166.46
2024-08-18,VEND-031,Travel,7830.16
2024-08-18,VEND-054,Consulting,23951.81
2024-08-18,VEND-036,ICT,8235.51
2024-08-18,VEND-057,ICT,8914.45
2024-08-19,VEND-015,Construction,23900.05
2024-08-19,VEND-009,Construction,29048.82
2024-08-19,VEND-026,Office Supplies,3184.15
2024-08-19,VEND-052,Construction,30827.74
2024-08-19,VEND-018,Consulting,13938.59
2024-08-19,VEND-027,Construction,65598.08
2024-08-20,VEND-051,Construction,38509.6
2024-08-20,VEND-025,ICT,4869.64
2024-08-20,VEND-049,Construction,72917.3
2024-08-20,VEND-043,Office Supplies,2001.96
2024-08-20,VEND-028,Consulting,13616.14
2024-08-20,VEND-040,Consulting,8237.3
2024-08-21,VEND-023,Construction,29967.78
2024-08-21,VEND-056,Construction,49216.77
2024-08-21,VEND-045,Office Supplies,1559.34
2024-08-21,VEND-016,Construction,32412.6
2024-08-21,VEND-028,Consulting,36808.84
2024-08-21,VEND-030,Construction,9125.31
2024-08-22,VEND-029,Consulting,13026.38
2024-08-22,VEND-003,ICT,9602.68
2024-08-22,VEND-060,Construction,74187.58
2024-08-22,VEND-055,Office Supplies,992.56
2024-08-22,VEND-001,ICT,21037.65
2024-08-22,VEND-003,Consulting,34312.91
2024-08-23,VEND-003,ICT,12732.45
2024-08-23,VEND-028,Office Supplies,2034.5
2024-08-23,VEND-014,ICT,10388.62
2024-08-23,VEND-046,Consulting,12777.63
2024-08-23,VEND-021,Office Supplies,5907.93
2024-08-23,VEND-055,Construction,24591.7
2024-08-24,VEND-060,Office Supplies,2675.5
2024-08-24,VEND-001,Consulting,7552.82
2024-08-24,VEND-002,Office Supplies,1044.52
2024-08-24,VEND-055,Construction,27574.16
2024-08-24,VEND-030,ICT,5565.85
2024-08-24,VEND-053,Construction,128964.74
2024-08-25,VEND-032,ICT,21498.87
2024-08-25,VEND-051,Construction,44171.84
2024-08-25,VEND-025,Construction,75830.97
2024-08-25,VEND-054,ICT,22627.85
2024-08-25,VEND-029,Consulting,8549.66
2024-08-25,VEND-023,ICT,10500.99
2024-08-26,VEND-042,Consulting,17201.16
2024-08-26,VEND-038,Consulting,35157.71
2024-08-26,VEND-012,ICT,11513.48
2024-08-26,VEND-042,ICT,2554.81
2024-08-26,VEND-027,ICT,6998.02
2024-08-26,VEND-012,Consulting,9270.23
2024-08-27,VEND-017,Consulting,83851.37
2024-08-27,VEND-028,Construction,39537.56
2024-08-27,VEND-054,Office Supplies,722.95
2024-08-27,VEND-051,Office Supplies,1214.96
2024-08-27,VEND-036,ICT,10484.55
2024-08-27,VEND-039,Consulting,33021.01
2024-08-28,VEND-024,Consulting,14819.91
2024-08-28,VEND-005,Travel,5302.02
2024-08-28,VEND-019,Construction,53802.43
2024-08-28,VEND-043,Consulting,5702.27
2024-08-28,VEND-009,Office Supplies,1649.35
2024-08-28,VEND-017,ICT,47655.02
2024-08-29,VEND-025,Construction,71339.66
2024-08-29,VEND-003,ICT,31363.65
2024-08-29,VEND-049,ICT,21678.92
2024-08-29,VEND-010,ICT,8399.97
2024-08-29,VEND-016,Consulting,9501.26
2024-08-29,VEND-008,Office Supplies,2259.89
2024-08-30,VEND-016,Consulting,25931.82
2024-08-30,VEND-025,Office Supplies,3844.37
2024-08-30,VEND-041,Travel,8566.92
2024-08-30,VEND-047,Travel,7044.07
2024-08-30,VEND-007,ICT,5665.01
2024-08-30,VEND-053,ICT,57311.03
2024-08-31,VEND-059,Office Supplies,1959.7
2024-08-31,VEND-018,Travel,3464.54
2024-08-31,VEND-059,Office Supplies,2113.47
2024-08-31,VEND-017,Office Supplies,1477.4
2024-08-31,VEND-045,Consulting,27493.28
2024-08-31,VEND-037,ICT,3588.58
2024-09-01,VEND-039,Consulting,4593.21
2024-09-01,VEND-049,Construction,20825.5
2024-09-01,VEND-033,Consulting,33471.2
2024-09-01,VEND-042,Office Supplies,3633.13
2024-09-01,VEND-034,Office Supplies,1141.1
2024-09-01,VEND-055,ICT,2891.97
2024-09-02,VEND-059,ICT,17627.3
2024-09-02,VEND-052,Travel,3427.58
2024-09-02,VEND-044,ICT,57027.26
2024-09-02,VEND-010,Travel,2572.24
2024-09-02,VEND-001,ICT,14254.76
2024-09-02,VEND-003,ICT,3434.17
2024-09-03,VEND-018,Construction,72122.6
2024-09-03,VEND-025,ICT,9147.77
2024-09-03,VEND-004,ICT,10359.1
2024-09-03,VEND-058,ICT,7064.01
2024-09-03,VEND-039,Office Supplies,3084.24
2024-09-03,VEND-046,Office Supplies,877.17
2024-09-04,VEND-008,Consulting,15094.48
2024-09-04,VEND-054,Travel,3925.89
2024-09-04,VEND-034,Consulting,6237.71
2024-09-04,VEND-041,Construction,47041.97
2024-09-04,VEND-005,ICT,8186.4
2024-09-04,VEND-023,Consulting,32655.02
2024-09-05,VEND-050,Office Supplies,1758.42
2024-09-05,VEND-017,Construction,22253.97
2024-09-05,VEND-056,ICT,8615.59
2024-09-05,VEND-025,Office Supplies,3216.25
2024-09-05,VEND-041,Consulting,9665.11
2024-09-05,VEND-059,Construction,49673.98
2024-09-06,VEND-040,ICT,14245.28
2024-09-06,VEND-011,Travel,4644.46
2024-09-06,VEND-008,ICT,4202.92
2024-09-06,VEND-048,Consulting,7524.65
2024-09-06,VEND-017,Construction,32986.41
2024-09-06,VEND-045,ICT,13724.46
2024-09-07,VEND-056,Construction,92762.21
2024-09-07,VEND-040,Consulting,19657.71
2024-09-07,VEND-019,Consulting,22713.19
2024-09-07,VEND-028,Office Supplies,1773.37
2024-09-07,VEND-043,Office Supplies,2806.19
2024-09-07,VEND-053,ICT,18428.73
2024-09-08,VEND-007,Consulting,36667.25
2024-09-08,VEND-045,Office Supplies,3246.84
2024-09-08,VEND-030,Office Supplies,1761.67
2024-09-08,VEND-018,Travel,2304.5
2024-09-08,VEND-039,Office Supplies,2238.27
2024-09-08,VEND-013,ICT,25841.4
2024-09-09,VEND-031,Consulting,16238.32
2024-09-09,VEND-024,Construction,47495.56
2024-09-09,VEND-007,Office Supplies,1740.02
2024-09-09,VEND-032,Consulting,10700.92
2024-09-09,VEND-037,Office Supplies,1080.26
2024-09-09,VEND-004,ICT,9445.81
2024-09-10,VEND-017,ICT,16105.46
2024-09-10,VEND-001,Consulting,11137.53
2024-09-10,VEND-052,ICT,40332.11
2024-09-10,VEND-007,Office Supplies,1411.33
2024-09-10,VEND-032,ICT,9165.15
2024-09-10,VEND-058,Office Supplies,4325.42
2024-09-11,VEND-004,ICT,11213.42
2024-09-11,VEND-013,Construction,21578.59
2024-09-11,VEND-011,Office Supplies,4795.38
2024-09-11,VEND-002,ICT,12800.89
2024-09-11,VEND-003,Office Supplies,1645.22
2024-09-11,VEND-044,Travel,3071.69
2024-09-12,VEND-037,ICT,15539.9
2024-09-12,VEND-006,Consulting,18514.85
2024-09-12,VEND-058,Office Supplies,726.44
2024-09-12,VEND-015,Office Supplies,1565.89
2024-09-12,VEND-024,Office Supplies,2720.23
2024-09-12,VEND-015,Construction,37859.85
2024-09-13,VEND-025,Construction,21697.79
2024-09-13,VEND-053,Office Supplies,2413.33
2024-09-13,VEND-007,ICT,31843.02
2024-09-13,VEND-044,Consulting,3610.38
2024-09-13,VEND-046,ICT,13501.75
2024-09-13,VEND-030,Construction,68859.26
2024-09-14,VEND-036,ICT,15027.67
2024-09-14,VEND-048,Consulting,10156.86
2024-09-14,VEND-053,Construction,48595.22
2024-09-14,VEND-008,Consulting,10632.95
2024-09-14,VEND-018,Construction,38111.77
2024-09-14,VEND-018,Consulting,15758.11
2024-09-15,VEND-045,Construction,17397.4
2024-09-15,VEND-060,Office Supplies,3471.91
2024-09-15,VEND-024,Office Supplies,2168.32
2024-09-15,VEND-012,ICT,8519.04
2024-09-15,VEND-022,Travel,3791.8
2024-09-15,VEND-033,ICT,5988.78
2024-09-16,VEND-013,Consulting,9457.4
2024-09-16,VEND-013,ICT,12274.24
2024-09-16,VEND-039,ICT,6579.34
2024-09-16,VEND-058,ICT,10137.55
2024-09-16,VEND-049,Office Supplies,1636.21
2024-09-16,VEND-003,Travel,2909.59
2024-09-17,VEND-031,Office Supplies,6107.24
2024-09-17,VEND-050,Consulting,36688.95
2024-09-17,VEND-020,Travel,4148.51
2024-09-17,VEND-059,Construction,61555.22
2024-09-17,VEND-006,Construction,66520.36
2024-09-17,VEND-026,Office Supplies,7202.18
2024-09-18,VEND-012,Construction,123723.78
2024-09-18,VEND-013,ICT,9104.14
2024-09-18,VEND-046,Construction,17674.32
2024-09-18,VEND-008,Construction,84713.98
2024-09-18,VEND-044,Office Supplies,1569.35
2024-09-18,VEND-018,Consulting,15233.22
2024-09-19,VEND-059,Consulting,21675.52
2024-09-19,VEND-010,Consulting,4826.6
2024-09-19,VEND-015,Construction,35137.7
2024-09-19,VEND-012,ICT,5143.48
2024-09-19,VEND-024,ICT,11357.19
2024-09-19,VEND-004,Construction,60845.41
2024-09-20,VEND-050,Office Supplies,2238.07
2024-09-20,VEND-032,Office Supplies,5677.99
2024-09-20,VEND-036,Consulting,15224.08
2024-09-20,VEND-034,Office Supplies,1758.67
2024-09-20,VEND-003,Office Supplies,1291.15
2024-09-20,VEND-040,Consulting,7062.26
2024-09-21,VEND-036,Office Supplies,3448.84
2024-09-21,VEND-023,Travel,2471.01
2024-09-21,VEND-037,Consulting,18374.67
2024-09-21,VEND-045,Office Supplies,545.34
2024-09-21,VEND-014,Construction,39912.86
2024-09-21,VEND-025,Construction,27062.48
2024-09-22,VEND-025,Consulting,18793.65
2024-09-22,VEND-002,Travel,2476.46
2024-09-22,VEND-012,Office Supplies,2222.4
2024-09-22,VEND-045,ICT,11343.53
2024-09-22,VEND-054,ICT,15561.4
2024-09-22,VEND-010,ICT,10026.19
2024-09-23,VEND-005,Construction,26429.05
2024-09-23,VEND-043,ICT,15477.55
2024-09-23,VEND-028,Travel,2434.62
2024-09-23,VEND-037,ICT,5485.53
2024-09-23,VEND-056,Construction,110329.97
2024-09-23,VEND-028,Office Supplies,2447.61
2024-09-24,VEND-020,Office Supplies,5690.85
2024-09-24,VEND-002,ICT,47922.33
2024-09-24,VEND-037,ICT,5711.61
2024-09-24,VEND-005,Travel,5543.08
2024-09-24,VEND-020,ICT,33594.43
2024-09-24,VEND-024,Travel,6038.35
2024-09-25,VEND-056,Consulting,16663.84
2024-09-25,VEND-050,Construction,57210.14
2024-09-25,VEND-045,Construction,23743.87
2024-09-25,VEND-050,ICT,12679.55
2024-09-25,VEND-032,ICT,14166.05
2024-09-25,VEND-047,ICT,8121.2
2024-09-26,VEND-026,ICT,20225.56
2024-09-26,VEND-030,Construction,60586.47
2024-09-26,VEND-040,Construction,80193.45
2024-09-26,VEND-027,Office Supplies,2645.95
2024-09-26,VEND-019,Travel,7376.63
2024-09-26,VEND-014,Travel,7746.33
2024-09-27,VEND-028,Construction,28323.32
2024-09-27,VEND-006,ICT,14337.57
2024-09-27,VEND-031,Construction,36816.94
2024-09-27,VEND-004,Office Supplies,2489.72
2024-09-27,VEND-013,Consulting,27480.41
2024-09-27,VEND-019,Office Supplies,2024.13
2024-09-28,VEND-007,Office Supplies,911.2
2024-09-28,VEND-015,ICT,6996.5
2024-09-28,VEND-019,Consulting,32315.18
2024-09-28,VEND-025,Construction,151969.04
2024-09-28,VEND-038,Consulting,4401.08
2024-09-28,VEND-035,ICT,34670.38
2024-09-29,VEND-009,ICT,25697.99
2024-09-29,VEND-026,Construction,68395.34
2024-09-29,VEND-015,Travel,4009.9
2024-09-29,VEND-015,Consulting,7875.47
2024-09-29,VEND-044,Construction,119258.3
2024-09-29,VEND-045,Travel,4618.55
